ID,Pincode,City,District,State
141,122503,Pataudi,Gurgaon,HARYANA
142,122504,Haillymandi,Gurgaon,HARYANA
143,122505,Garhi Harsaru,Gurgaon,HARYANA
144,122506,Farrukh Nagar,Gurgaon,HARYANA
145,122508,Punhana,Gurgaon,HARYANA
146,123001,Azamabad Mukhota,Mahendragarh,HARYANA
147,123021,Behali,Mahendragarh,HARYANA
148,123023,Akberpur,Mahendragarh,HARYANA
149,123024,Barda,Mahendragarh,HARYANA
150,123027,Baghot,Mahendragarh,HARYANA
151,123028,Bairawas,Mahendragarh,HARYANA
152,123029,Akoda,Mahendragarh,HARYANA
153,123034,Bawania,Mahendragarh,HARYANA
154,123035,Guraora,Rewari,HARYANA
155,123101,Basbatori,Rewari,HARYANA
156,123102,Ahrod,Rewari,HARYANA
157,123103,Dhawana,Rewari,HARYANA
158,123106,Bhatsana,Rewari,HARYANA
159,123110,Dharuhera,Rewari,HARYANA
160,123301,Guriani,Rewari,HARYANA
161,123302,Bhakli,Rewari,HARYANA
162,123303,Bawwa,Mahendragarh,HARYANA
163,123401,B B Ashram,Rewari,HARYANA
164,123411,Buroli,Rewari,HARYANA
165,123412,Dharan,Mahendragarh,HARYANA
166,123501,Baghthala,Rewari,HARYANA
167,124001,Rohtak,Rohtak,HARYANA
168,124010,Rohtak,Rohtak,HARYANA
169,124021,Rohtak,Rohtak,HARYANA
170,124022,Mehem,Rohtak,HARYANA
171,124102,Jhajjar,Jhajjar,HARYANA
172,124103,Jahjjar,Jhajjar,HARYANA
173,124104,Jhajjar,Jhajjar,HARYANA
174,124105,Bahadurgarh,Jhajjar,HARYANA
175,124106,Jhajjar,Jhajjar,HARYANA
176,124107,Jhajjar,Jhajjar,HARYANA
177,124108,Jhajjar,Jhajjar,HARYANA
178,124109,Jhajar,Jhajjar,HARYANA
179,124111,Mehem,Rohtak,HARYANA
180,124112,Mehem,Rohtak,HARYANA
181,124113,Rohtak,Rohtak,HARYANA
182,124141,Rohtak,Rohtak,HARYANA
183,124142,Jhajjar,Jhajjar,HARYANA
184,124146,Jhajjar,Jhajjar,HARYANA
185,124201,Jhajjar,Jhajjar,HARYANA
186,124202,Jhajjar,Jhajjar,HARYANA
187,124303,Rohtak,Rohtak,HARYANA
188,124401,Rohtak,Rohtak,HARYANA
189,124404,Bahadurgarh,Jhajjar,HARYANA
190,124406,Rohtak,Rohtak,HARYANA
191,124411,Rohtak,Rohtak,HARYANA
192,124412,Rohtak,Rohtak,HARYANA
193,124501,Bahadurgarh,Jhajjar,HARYANA
194,124504,Bahadurgarh,Jhajjar,HARYANA
195,124505,Bahadurgarh,Jhajjar,HARYANA
196,124506,Bahadurgarh,Jhajjar,HARYANA
197,124507,Bahadurgarh,Jhajjar,HARYANA
198,124508,Bahadurarh,Jhajjar,HARYANA
199,124513,Mehem,Rohtak,HARYANA
200,124514,Mehem,Rohtak,HARYANA
201,125001,Hisar,Hisar,HARYANA
202,125004,Hisar,Hisar,HARYANA
203,125005,Hisar,Hisar,HARYANA
204,125006,Hisar,Hisar,HARYANA
205,125007,Hisar,Hisar,HARYANA
206,125011,Hisar,Hisar,HARYANA
207,125033,Hansi,Hisar,HARYANA
208,125037,Hisar,Hisar,HARYANA
209,125038,Hansi,Hisar,HARYANA
210,125039,Hansi,Hisar,HARYANA
211,125042,Hansi,Hisar,HARYANA
212,125044,Hisar,Hisar,HARYANA
213,125047,Hisar,Hisar,HARYANA
214,125048,Fatehabad,Fatehabad,HARYANA
215,125049,Hansi,Hisar,HARYANA
216,125050,Fatehabad,Fatehabad,HARYANA
217,125051,Rattia,Fatehabad,HARYANA
218,125052,Hisar,Fatehabad,HARYANA
219,125053,Fatehabad,Fatehabad,HARYANA
220,125054,Sirsa,Sirsa,HARYANA
221,125055,Sirsa,Sirsa,HARYANA
222,125058,Sirsa,Sirsa,HARYANA
223,125060,Sirsa,Sirsa,HARYANA
224,125075,Sirsa,Sirsa,HARYANA
225,125076,Rania,Sirsa,HARYANA
226,125077,Odhan,Sirsa,HARYANA
227,125078,Baragudha,Sirsa,HARYANA
228,125101,Sirsa,Sirsa,HARYANA
229,125102,Hisar,Sirsa,HARYANA
230,125103,Sirsa,Sirsa,HARYANA
231,125104,Dabwali,Sirsa,HARYANA
232,125106,Tohana,Fatehabad,HARYANA
233,125110,Sirsa,Sirsa,HARYANA
234,125111,Fatehabad,Fatehabad,HARYANA
235,125112,Hisar,Hisar,HARYANA
236,125113,Hisar,Fatehabad,HARYANA
237,125120,Tohana,Fatehabad,HARYANA
238,125121,Hisar,Hisar,HARYANA
239,125133,Tohana,Fatehabad,HARYANA
240,125201,Kaanwali,Sirsa,HARYANA
241,126101,Jind,Jind,HARYANA
242,126102,Jind,Jind,HARYANA
243,126110,Jind,Jind,HARYANA
244,126111,Jind,Jind,HARYANA
245,126112,Jind,Jind,HARYANA
246,126113,Jind,Jind,HARYANA
247,126114,Safidon,Jind,HARYANA
248,126115,Narwana,Jind,HARYANA
249,126116,Jind,Jind,HARYANA
250,126125,Jind,Jind,HARYANA
251,126152,Jind,Jind,HARYANA
252,127021,Bhiwani,Bhiwani,HARYANA
253,127022,Ch-dadri,Bhiwani,HARYANA
254,127025,Baund,Bhiwani,HARYANA
255,127026,Charkhi Dadri,Bhiwani,HARYANA
256,127027,Bhiwani,Bhiwani,HARYANA
257,127028,Siwani,Bhiwani,HARYANA
258,127029,Bhiwani,Bhiwani,HARYANA
259,127030,Bhiwani,Bhiwani,HARYANA
